[41, "#FirstRecord Crazy by Icehouse ...still love the  and the naband to this day\n"]
[2240, "Enjoying my lazy day off.  Watched  all day and went to Cracker Barrel.  Now time for some Ice Road Truckers\n"]
[2302, "has graduated!!!!  must.sleep.now. early bro  games 2m...whattheheck nice first day of summer-waking to an alarm\n"]
[2304, "\"Having good day so far\n"]
[2308, "Had fun with the bff @emileeabigail last night! Now a day full of  games  Then possibly the family picnic..ugh!\n"]
[2309, "full day of  today\n"]
[2323, "home from a long day of ...out to the yard\n"]
[2343, "Hanley's grand slam gave me a nice first day in fantasy ...too bad it came against the Nats\n"]
[2357, "\"homeworking alll day long\n"]
[2369, "I want it to be time for A's and Dodgers  now. Vin Mazzaro will help me feel better.\n"]
[2378, "im getting ready for another day at school....But yesterday in  i hit a homerun\n"]
[2390, "\"is unsure how this twitter thing works. I am fixing to spend the day studying. Skipped  tournament\n"]
[2391, "is up too early for the time I went to bed.... taking @PlacesrFun to watch the kids softball/ games.\n"]
[2392, "is worn out from a day full of the kids' ... but it was a lot of fun!\n"]
[2411, "is home after a fun day of pool and\n"]
[2435, "jesus...it's not a good time for detroit sports vs pittsburgh sports...our  team can't even beat THEIR damn  team\n"]
[2448, "@LsRccrd it is pretty exciting  finally time to watch\n"]
[2463, "Mets won it &amp; Phillies lost..ahh good day in\n"]
[2465, "\"long day ahead... cat to the vet\n"]
[2477, "off to our kids closing day of . parades. burgers. and rain\n"]
[2495, "no   that is next sunday if darren didnt mumble on the phone i would have gotten it the first time\n"]
